c ids of edges start at 1
c file syntax:
c graph number-of-nodes number-of-edges
c id-of-edge id-of-node id-of-node
c
graph 224 112
1 0 48
2 0 3
3 0 14
4 0 7
5 14 47
6 47 48
7 14 37
8 6 7
9 6 14
10 2 7
11 47 63
12 37 64
13 37 38
14 37 46
15 46 63
16 46 64
17 6 32
18 32 38
19 1 63
20 33 63
21 41 64
22 38 39
23 39 64
24 43 46
25 16 33
26 25 33
27 40 41
28 41 42
29 42 43
30 13 41
31 39 49
32 40 49
33 27 43
34 43 45
35 17 25
36 25 62
37 5 13
38 5 40
39 10 13
40 10 27
41 10 42
42 13 73
43 5 26
44 26 49
45 27 28
46 28 45
47 27 30
48 44 45
49 44 62
50 19 62
51 4 5
52 9 10
53 9 30
54 4 12
55 9 12
56 12 73
57 4 29
58 26 29
59 24 28
60 24 44
61 28 31
62 30 31
63 30 34
64 8 9
65 8 34
66 12 74
67 29 57
68 29 60
69 57 60
70 18 24
71 23 24
72 23 31
73 34 36
74 34 78
75 8 76
76 11 74
77 11 76
78 57 59
79 54 57
80 51 54
81 51 60
82 51 53
83 53 60
84 36 66
85 36 77
86 36 71
87 22 78
88 11 58
89 53 58
90 58 71
91 15 51
92 35 66
93 56 77
94 58 61
95 61 71
96 56 79
97 71 79
98 56 70
99 70 79
100 55 61
101 52 70
102 52 69
103 69 70
104 50 55
105 52 65
106 68 69
107 21 69
108 50 67
109 65 67
110 50 75
111 72 75
112 20 72
